age	Q5_lieu	Q6_niveau	Q_renonce
38	Pistes et Bords de pistes	Confirmée	Mauvaise neige
33	Pistes	Débrouillée	Mauvaise neige
32	Pistes	Débutante	Mauvaise météo
28	Pistes	Débutante	Mauvaise météo
46	Pistes	Débrouillée	Mauvaise matériel
35	Pistes	Confirmée	Mauvaise météo
20	Pistes et Bords de pistes	Confirmée	Mauvaise neige
43	Pistes	Débutante	Mauvaise météo
25	Pistes et Bords de pistes	Débrouillée	Ne renonce jamais
47	Pistes	Débrouillée	Mauvaise neige
23	Pistes	Débutante	Mauvaise météo
33	Pistes	Débrouillée	Mauvaise neige
56	Pistes	Débrouillée	Mauvaise matériel
39	Pistes	Débrouillée	Mauvaise météo
34	Pistes	Débrouillée	Mauvaise météo
32	Pistes	Débutante	Mauvaise météo
57	Pistes	Débrouillée	Trop de monde
58	Pistes	Débutante	Mauvaise météo
48	Pistes	Débrouillée	Ne renonce jamais
54	Pistes	Confirmée	Ne renonce jamais
34	Pistes	Débutante	Mauvaise météo
37	Pistes	Débrouillée	Mauvaise neige
35	Pistes	Débrouillée	Mauvaise météo
39	Pistes	Confirmée	Ne renonce jamais
48	Pistes	Débrouillée	Mauvaise météo
27	Pistes et Bords de pistes	Confirmée	Trop de monde
24	Pistes	Confirmée	Ne renonce jamais
66	Pistes et Bords de pistes	Confirmée	Mauvaise météo
53	Pistes	Débrouillée	Trop de monde
43	Pistes et Bords de pistes	Confirmée	Mauvaise météo
38	Pistes et Bords de pistes	Confirmée	Ne renonce jamais
60	Pistes	Débrouillée	Mauvaise météo
32	Pistes	Débrouillée	Mauvaise météo
52	Pistes	Débrouillée	Mauvaise météo
28	Pistes et Bords de pistes	Débrouillée	Ne renonce jamais
22	Pistes	Débrouillée	Mauvaise météo
31	Pistes	Débutante	Mauvaise neige
25	Pistes	Débutante	Ne renonce jamais
37	Pistes	Débrouillée	Mauvaise météo
29	Pistes	Confirmée	Mauvaise neige
24	Pistes et Bords de pistes	Confirmée	Ne renonce jamais
37	Pistes	Experte	Ne renonce jamais
28	Pistes et Bords de pistes	Experte	Trop de monde
62	Pistes et Bords de pistes	Confirmée	Mauvaise météo
53	Pistes et Bords de pistes	Confirmée	Mauvaise météo
63	Pistes	Débrouillée	Mauvaise météo
47	Pistes	Débrouillée	Ne renonce jamais
55	Pistes	Débrouillée	Mauvaise météo
27	Pistes	Débrouillée	Ne renonce jamais
28	Pistes et Bords de pistes	Confirmée	Mauvaise météo
28	Pistes et Bords de pistes	Confirmée	Mauvaise météo
25	Pistes	Confirmée	Mauvaise météo
31	Pistes	Confirmée	Mauvaise météo
30	Pistes et Bords de pistes	Confirmée	Mauvaise neige
62	Pistes	Confirmée	Mauvaise météo
26	Pistes	Débrouillée	Mauvaise météo
26	Pistes	Débrouillée	Mauvaise météo
73	Pistes	Confirmée	Mauvaise météo
39	Pistes	Débutante	Mauvaise neige
49	Pistes	Débutante	Mauvaise neige
49	Pistes	Débutante	Mauvaise météo
31	Pistes	Débrouillée	Mauvaise météo
